t,track_x,track_y,track_z,tgt_x,tgt_y,tgt_z,track_nis
0,0,0,0,9000,0,3500,0
0.005,0,0,0,8998.6,0,3499.8,0
0.01,0,0,0,8997.2,0,3499.6,0
0.015,0,0,0,8995.8,0,3499.4,0
0.02,0,0,0,8994.4,0,3499.2,0
0.025,0,0,0,8993,0,3499,0
0.03,0,0,0,8991.6,0,3498.8,0
0.035,0,0,0,8990.2,0,3498.6,0
0.04,0,0,0,8988.8,0,3498.4,0
0.045,0,0,0,8987.4,0,3498.2,0
0.05,0,0,0,8986,0,3498,0
0.055,0,0,0,8984.6,0,3497.8,0
0.06,0,0,0,8983.2,0,3497.6,0
0.065,0,0,0,8981.8,0,3497.4,0
0.07,0,0,0,8980.4,0,3497.2,0
0.075,0,0,0,8979,0,3497,0
0.08,0,0,0,8977.6,0,3496.8,0
0.085,0,0,0,8976.2,0,3496.6,0
0.09,0,0,0,8974.8,0,3496.4,0
0.095,0,0,0,8973.4,0,3496.2,0
0.1,0,0,0,8972,0,3496,0
0.105,0,0,0,8970.6,0,3495.8,0
0.11,0,0,0,8969.2,0,3495.6,0
0.115,0,0,0,8967.8,0,3495.4,0
0.12,0,0,0,8966.4,0,3495.2,0
0.125,0,0,0,8965,0,3495,0
0.13,0,0,0,8963.6,0,3494.8,0
0.135,0,0,0,8962.2,0,3494.6,0
0.14,0,0,0,8960.8,0,3494.4,0
0.145,0,0,0,8959.4,0,3494.2,0
0.15,0,0,0,8958,0,3494,0
0.155,0,0,0,8956.6,0,3493.8,0
0.16,0,0,0,8955.2,0,3493.6,0
0.165,0,0,0,8953.8,0,3493.4,0
0.17,0,0,0,8952.4,0,3493.2,0
0.175,0,0,0,8951,0,3493,0
0.18,0,0,0,8949.6,0,3492.8,0
0.185,0,0,0,8948.2,0,3492.6,0
0.19,0,0,0,8946.8,0,3492.4,0
0.195,0,0,0,8945.4,0,3492.2,0
0.2,0,0,0,8944,0,3492,0
0.205,0,0,0,8942.6,0,3491.8,0
0.21,0,0,0,8941.2,0,3491.6,0
0.215,0,0,0,8939.8,0,3491.4,0
0.22,0,0,0,8938.4,0,3491.2,0
0.225,0,0,0,8937,0,3491,0
0.23,0,0,0,8935.6,0,3490.8,0
0.235,0,0,0,8934.2,0,3490.6,0
0.24,0,0,0,8932.8,0,3490.4,0
0.245,0,0,0,8931.4,0,3490.2,0
0.25,0,0,0,8930,0,3490,0
0.255,0,0,0,8928.6,0,3489.8,0
0.26,0,0,0,8927.2,0,3489.6,0
0.265,0,0,0,8925.8,0,3489.4,0
0.27,0,0,0,8924.4,0,3489.2,0
0.275,0,0,0,8923,0,3489,0
0.28,0,0,0,8921.6,0,3488.8,0
0.285,0,0,0,8920.2,0,3488.6,0
0.29,0,0,0,8918.8,0,3488.4,0
0.295,0,0,0,8917.4,0,3488.2,0
0.3,0,0,0,8916,0,3488,0
0.305,0,0,0,8914.6,0,3487.8,0
0.31,0,0,0,8913.2,0,3487.6,0
0.315,0,0,0,8911.8,0,3487.4,0
0.32,0,0,0,8910.4,0,3487.2,0
0.325,0,0,0,8909,0,3487,0
0.33,0,0,0,8907.6,0,3486.8,0
0.335,0,0,0,8906.2,0,3486.6,0
0.34,0,0,0,8904.8,0,3486.4,0
0.345,0,0,0,8903.4,0,3486.2,0
0.35,0,0,0,8902,0,3486,0
0.355,0,0,0,8900.6,0,3485.8,0
0.36,0,0,0,8899.2,0,3485.6,0
0.365,0,0,0,8897.8,0,3485.4,0
0.37,0,0,0,8896.4,0,3485.2,0
0.375,0,0,0,8895,0,3485,0
0.38,0,0,0,8893.6,0,3484.8,0
0.385,0,0,0,8892.2,0,3484.6,0
0.39,0,0,0,8890.8,0,3484.4,0
0.395,0,0,0,8889.4,0,3484.2,0
0.4,0,0,0,8888,0,3484,0
0.405,0,0,0,8886.6,0,3483.8,0
0.41,0,0,0,8885.2,0,3483.6,0
0.415,0,0,0,8883.8,0,3483.4,0
0.42,0,0,0,8882.4,0,3483.2,0
0.425,0,0,0,8881,0,3483,0
0.43,0,0,0,8879.6,0,3482.8,0
0.435,0,0,0,8878.2,0,3482.6,0
0.44,0,0,0,8876.8,0,3482.4,0
0.445,0,0,0,8875.4,0,3482.2,0
0.45,0,0,0,8874,0,3482,0
0.455,0,0,0,8872.6,0,3481.8,0
0.46,0,0,0,8871.2,0,3481.6,0
0.465,0,0,0,8869.8,0,3481.4,0
0.47,0,0,0,8868.4,0,3481.2,0
0.475,0,0,0,8867,0,3481,0
0.48,0,0,0,8865.6,0,3480.8,0
0.485,0,0,0,8864.2,0,3480.6,0
0.49,0,0,0,8862.8,0,3480.4,0
0.495,0,0,0,8861.4,0,3480.2,0
0.5,0,0,0,8860,0,3480,0
0.505,0,0,0,8858.6,0,3479.8,0
0.51,0,0,0,8857.2,0,3479.6,0
0.515,0,0,0,8855.8,0,3479.4,0
0.52,0,0,0,8854.4,0,3479.2,0
0.525,0,0,0,8853,0,3479,0
0.53,0,0,0,8851.6,0,3478.8,0
0.535,0,0,0,8850.2,0,3478.6,0
0.54,0,0,0,8848.8,0,3478.4,0
0.545,0,0,0,8847.4,0,3478.2,0
0.55,0,0,0,8846,0,3478,0
0.555,0,0,0,8844.6,0,3477.8,0
0.56,0,0,0,8843.2,0,3477.6,0
0.565,0,0,0,8841.8,0,3477.4,0
0.57,0,0,0,8840.4,0,3477.2,0
0.575,0,0,0,8839,0,3477,0
0.58,0,0,0,8837.6,0,3476.8,0
0.585,0,0,0,8836.2,0,3476.6,0
0.59,0,0,0,8834.8,0,3476.4,0
0.595,0,0,0,8833.4,0,3476.2,0
0.6,0,0,0,8832,0,3476,0
0.605,0,0,0,8830.6,0,3475.8,0
0.61,0,0,0,8829.2,0,3475.6,0
0.615,0,0,0,8827.8,0,3475.4,0
0.62,0,0,0,8826.4,0,3475.2,0
0.625,0,0,0,8825,0,3475,0
0.63,0,0,0,8823.6,0,3474.8,0
0.635,0,0,0,8822.2,0,3474.6,0
0.64,0,0,0,8820.8,0,3474.4,0
0.645,0,0,0,8819.4,0,3474.2,0
0.65,0,0,0,8818,0,3474,0
0.655,0,0,0,8816.6,0,3473.8,0
0.66,0,0,0,8815.2,0,3473.6,0
0.665,0,0,0,8813.8,0,3473.4,0
0.67,0,0,0,8812.4,0,3473.2,0
0.675,0,0,0,8811,0,3473,0
0.68,0,0,0,8809.6,0,3472.8,0
0.685,0,0,0,8808.2,0,3472.6,0
0.69,0,0,0,8806.8,0,3472.4,0
0.695,0,0,0,8805.4,0,3472.2,0
0.7,0,0,0,8804,0,3472,0
0.705,0,0,0,8802.6,0,3471.8,0
0.71,0,0,0,8801.2,0,3471.6,0
0.715,0,0,0,8799.8,0,3471.4,0
0.72,0,0,0,8798.4,0,3471.2,0
0.725,0,0,0,8797,0,3471,0
0.73,0,0,0,8795.6,0,3470.8,0
0.735,0,0,0,8794.2,0,3470.6,0
0.74,0,0,0,8792.8,0,3470.4,0
0.745,0,0,0,8791.4,0,3470.2,0
0.75,0,0,0,8790,0,3470,0
0.755,0,0,0,8788.6,0,3469.8,0
0.76,0,0,0,8787.2,0,3469.6,0
0.765,0,0,0,8785.8,0,3469.4,0
0.77,0,0,0,8784.4,0,3469.2,0
0.775,0,0,0,8783,0,3469,0
0.78,0,0,0,8781.6,0,3468.8,0
0.785,0,0,0,8780.2,0,3468.6,0
0.79,0,0,0,8778.8,0,3468.4,0
0.795,0,0,0,8777.4,0,3468.2,0
0.8,0,0,0,8776,0,3468,0
0.805,0,0,0,8774.6,0,3467.8,0
0.81,0,0,0,8773.2,0,3467.6,0
0.815,0,0,0,8771.8,0,3467.4,0
0.82,0,0,0,8770.4,0,3467.2,0
0.825,0,0,0,8769,0,3467,0
0.83,0,0,0,8767.6,0,3466.8,0
0.835,0,0,0,8766.2,0,3466.6,0
0.84,0,0,0,8764.8,0,3466.4,0
0.845,0,0,0,8763.4,0,3466.2,0
0.85,0,0,0,8762,0,3466,0
0.855,0,0,0,8760.6,0,3465.8,0
0.86,0,0,0,8759.2,0,3465.6,0
0.865,0,0,0,8757.8,0,3465.4,0
0.87,0,0,0,8756.4,0,3465.2,0
0.875,0,0,0,8755,0,3465,0
0.88,0,0,0,8753.6,0,3464.8,0
0.885,0,0,0,8752.2,0,3464.6,0
0.89,0,0,0,8750.8,0,3464.4,0
0.895,0,0,0,8749.4,0,3464.2,0
0.9,0,0,0,8748,0,3464,0
0.905,0,0,0,8746.6,0,3463.8,0
0.91,0,0,0,8745.2,0,3463.6,0
0.915,0,0,0,8743.8,0,3463.4,0
0.92,0,0,0,8742.4,0,3463.2,0
0.925,0,0,0,8741,0,3463,0
0.93,0,0,0,8739.6,0,3462.8,0
0.935,0,0,0,8738.2,0,3462.6,0
0.94,0,0,0,8736.8,0,3462.4,0
0.945,0,0,0,8735.4,0,3462.2,0
0.95,0,0,0,8734,0,3462,0
0.955,0,0,0,8732.6,0,3461.8,0
0.96,0,0,0,8731.2,0,3461.6,0
0.965,0,0,0,8729.8,0,3461.4,0
0.97,0,0,0,8728.4,0,3461.2,0
0.975,0,0,0,8727,0,3461,0
0.98,0,0,0,8725.6,0,3460.8,0
0.985,0,0,0,8724.2,0,3460.6,0
0.99,0,0,0,8722.8,0,3460.4,0
0.995,0,0,0,8721.4,0,3460.2,0
1,0,0,0,8720,0,3460,0
1.005,0,0,0,8718.6,0,3459.8,0
1.01,0,0,0,8717.2,0,3459.6,0
1.015,0,0,0,8715.8,0,3459.4,0
1.02,0,0,0,8714.4,0,3459.2,0
1.025,0,0,0,8713,0,3459,0
1.03,0,0,0,8711.6,0,3458.8,0
1.035,0,0,0,8710.2,0,3458.6,0
1.04,0,0,0,8708.8,0,3458.4,0
1.045,0,0,0,8707.4,0,3458.2,0
1.05,0,0,0,8706,0,3458,0
1.055,0,0,0,8704.6,0,3457.8,0
1.06,0,0,0,8703.2,0,3457.6,0
1.065,0,0,0,8701.8,0,3457.4,0
1.07,0,0,0,8700.4,0,3457.2,0
1.075,0,0,0,8699,0,3457,0
1.08,0,0,0,8697.6,0,3456.8,0
1.085,0,0,0,8696.2,0,3456.6,0
1.09,0,0,0,8694.8,0,3456.4,0
1.095,0,0,0,8693.4,0,3456.2,0
1.1,0,0,0,8692,0,3456,0
1.105,0,0,0,8690.6,0,3455.8,0
1.11,0,0,0,8689.2,0,3455.6,0
1.115,0,0,0,8687.8,0,3455.4,0
1.12,0,0,0,8686.4,0,3455.2,0
1.125,0,0,0,8685,0,3455,0
1.13,0,0,0,8683.6,0,3454.8,0
1.135,0,0,0,8682.2,0,3454.6,0
1.14,0,0,0,8680.8,0,3454.4,0
1.145,0,0,0,8679.4,0,3454.2,0
1.15,0,0,0,8678,0,3454,0
1.155,0,0,0,8676.6,0,3453.8,0
1.16,0,0,0,8675.2,0,3453.6,0
1.165,0,0,0,8673.8,0,3453.4,0
1.17,0,0,0,8672.4,0,3453.2,0
1.175,0,0,0,8671,0,3453,0
1.18,0,0,0,8669.6,0,3452.8,0
1.185,0,0,0,8668.2,0,3452.6,0
1.19,0,0,0,8666.8,0,3452.4,0
1.195,0,0,0,8665.4,0,3452.2,0
1.2,0,0,0,8664,0,3452,0
1.205,0,0,0,8662.6,0,3451.8,0
1.21,0,0,0,8661.2,0,3451.6,0
1.215,0,0,0,8659.8,0,3451.4,0
1.22,0,0,0,8658.4,0,3451.2,0
1.225,0,0,0,8657,0,3451,0
1.23,0,0,0,8655.6,0,3450.8,0
1.235,0,0,0,8654.2,0,3450.6,0
1.24,0,0,0,8652.8,0,3450.4,0
1.245,0,0,0,8651.4,0,3450.2,0
1.25,0,0,0,8650,0,3450,0
1.255,0,0,0,8648.6,0,3449.8,0
1.26,0,0,0,8647.2,0,3449.6,0
1.265,0,0,0,8645.8,0,3449.4,0
1.27,0,0,0,8644.4,0,3449.2,0
1.275,0,0,0,8643,0,3449,0
1.28,0,0,0,8641.6,0,3448.8,0
1.285,0,0,0,8640.2,0,3448.6,0
1.29,0,0,0,8638.8,0,3448.4,0
1.295,0,0,0,8637.4,0,3448.2,0
1.3,0,0,0,8636,0,3448,0
1.305,0,0,0,8634.6,0,3447.8,0
1.31,0,0,0,8633.2,0,3447.6,0
1.315,0,0,0,8631.8,0,3447.4,0
1.32,0,0,0,8630.4,0,3447.2,0
1.325,0,0,0,8629,0,3447,0
1.33,0,0,0,8627.6,0,3446.8,0
1.335,0,0,0,8626.2,0,3446.6,0
1.34,0,0,0,8624.8,0,3446.4,0
1.345,0,0,0,8623.4,0,3446.2,0
1.35,0,0,0,8622,0,3446,0
1.355,0,0,0,8620.6,0,3445.8,0
1.36,0,0,0,8619.2,0,3445.6,0
1.365,0,0,0,8617.8,0,3445.4,0
1.37,0,0,0,8616.4,0,3445.2,0
1.375,0,0,0,8615,0,3445,0
1.38,0,0,0,8613.6,0,3444.8,0
1.385,0,0,0,8612.2,0,3444.6,0
1.39,0,0,0,8610.8,0,3444.4,0
1.395,0,0,0,8609.4,0,3444.2,0
1.4,0,0,0,8608,0,3444,0
1.405,0,0,0,8606.6,0,3443.8,0
1.41,0,0,0,8605.2,0,3443.6,0
1.415,0,0,0,8603.8,0,3443.4,0
1.42,0,0,0,8602.4,0,3443.2,0
1.425,0,0,0,8601,0,3443,0
1.43,0,0,0,8599.6,0,3442.8,0
1.435,0,0,0,8598.2,0,3442.6,0
1.44,0,0,0,8596.8,0,3442.4,0
1.445,0,0,0,8595.4,0,3442.2,0
1.45,0,0,0,8594,0,3442,0
1.455,0,0,0,8592.6,0,3441.8,0
1.46,0,0,0,8591.2,0,3441.6,0
1.465,0,0,0,8589.8,0,3441.4,0
1.47,0,0,0,8588.4,0,3441.2,0
1.475,0,0,0,8587,0,3441,0
1.48,0,0,0,8585.6,0,3440.8,0
1.485,0,0,0,8584.2,0,3440.6,0
1.49,0,0,0,8582.8,0,3440.4,0
1.495,0,0,0,8581.4,0,3440.2,0
1.5,0,0,0,8580,0,3440,0
1.505,0,0,0,8578.6,0,3439.8,0
1.51,0,0,0,8577.2,0,3439.6,0
1.515,0,0,0,8575.8,0,3439.4,0
1.52,0,0,0,8574.4,0,3439.2,0
1.525,0,0,0,8573,0,3439,0
1.53,0,0,0,8571.6,0,3438.8,0
1.535,0,0,0,8570.2,0,3438.6,0
1.54,0,0,0,8568.8,0,3438.4,0
1.545,0,0,0,8567.4,0,3438.2,0
1.55,0,0,0,8566,0,3438,0
1.555,0,0,0,8564.6,0,3437.8,0
1.56,0,0,0,8563.2,0,3437.6,0
1.565,0,0,0,8561.8,0,3437.4,0
1.57,0,0,0,8560.4,0,3437.2,0
1.575,0,0,0,8559,0,3437,0
1.58,0,0,0,8557.6,0,3436.8,0
1.585,0,0,0,8556.2,0,3436.6,0
1.59,0,0,0,8554.8,0,3436.4,0
1.595,0,0,0,8553.4,0,3436.2,0
1.6,0,0,0,8552,0,3436,0
1.605,0,0,0,8550.6,0,3435.8,0
1.61,0,0,0,8549.2,0,3435.6,0
1.615,0,0,0,8547.8,0,3435.4,0
1.62,0,0,0,8546.4,0,3435.2,0
1.625,0,0,0,8545,0,3435,0
1.63,0,0,0,8543.6,0,3434.8,0
1.635,0,0,0,8542.2,0,3434.6,0
1.64,0,0,0,8540.8,0,3434.4,0
1.645,0,0,0,8539.4,0,3434.2,0
1.65,0,0,0,8538,0,3434,0
1.655,0,0,0,8536.6,0,3433.8,0
1.66,0,0,0,8535.2,0,3433.6,0
1.665,0,0,0,8533.8,0,3433.4,0
1.67,0,0,0,8532.4,0,3433.2,0
1.675,0,0,0,8531,0,3433,0
1.68,0,0,0,8529.6,0,3432.8,0
1.685,0,0,0,8528.2,0,3432.6,0
1.69,0,0,0,8526.8,0,3432.4,0
1.695,0,0,0,8525.4,0,3432.2,0
1.7,0,0,0,8524,0,3432,0
1.705,0,0,0,8522.6,0,3431.8,0
1.71,0,0,0,8521.2,0,3431.6,0
1.715,0,0,0,8519.8,0,3431.4,0
1.72,0,0,0,8518.4,0,3431.2,0
1.725,0,0,0,8517,0,3431,0
1.73,0,0,0,8515.6,0,3430.8,0
1.735,0,0,0,8514.2,0,3430.6,0
1.74,0,0,0,8512.8,0,3430.4,0
1.745,0,0,0,8511.4,0,3430.2,0
1.75,0,0,0,8510,0,3430,0
1.755,0,0,0,8508.6,0,3429.8,0
1.76,0,0,0,8507.2,0,3429.6,0
1.765,0,0,0,8505.8,0,3429.4,0
1.77,0,0,0,8504.4,0,3429.2,0
1.775,0,0,0,8503,0,3429,0
1.78,0,0,0,8501.6,0,3428.8,0
1.785,0,0,0,8500.2,0,3428.6,0
1.79,0,0,0,8498.8,0,3428.4,0
1.795,0,0,0,8497.4,0,3428.2,0
1.8,0,0,0,8496,0,3428,0
1.805,0,0,0,8494.6,0,3427.8,0
1.81,0,0,0,8493.2,0,3427.6,0
1.815,0,0,0,8491.8,0,3427.4,0
1.82,0,0,0,8490.4,0,3427.2,0
1.825,0,0,0,8489,0,3427,0
1.83,0,0,0,8487.6,0,3426.8,0
1.835,0,0,0,8486.2,0,3426.6,0
1.84,0,0,0,8484.8,0,3426.4,0
1.845,0,0,0,8483.4,0,3426.2,0
1.85,0,0,0,8482,0,3426,0
1.855,0,0,0,8480.6,0,3425.8,0
1.86,0,0,0,8479.2,0,3425.6,0
1.865,0,0,0,8477.8,0,3425.4,0
1.87,0,0,0,8476.4,0,3425.2,0
1.875,0,0,0,8475,0,3425,0
1.88,0,0,0,8473.6,0,3424.8,0
1.885,0,0,0,8472.2,0,3424.6,0
1.89,0,0,0,8470.8,0,3424.4,0
1.895,0,0,0,8469.4,0,3424.2,0
1.9,0,0,0,8468,0,3424,0
1.905,0,0,0,8466.6,0,3423.8,0
1.91,0,0,0,8465.2,0,3423.6,0
1.915,0,0,0,8463.8,0,3423.4,0
1.92,0,0,0,8462.4,0,3423.2,0
1.925,0,0,0,8461,0,3423,0
1.93,0,0,0,8459.6,0,3422.8,0
1.935,0,0,0,8458.2,0,3422.6,0
1.94,0,0,0,8456.8,0,3422.4,0
1.945,0,0,0,8455.4,0,3422.2,0
1.95,0,0,0,8454,0,3422,0
1.955,0,0,0,8452.6,0,3421.8,0
1.96,0,0,0,8451.2,0,3421.6,0
1.965,0,0,0,8449.8,0,3421.4,0
1.97,0,0,0,8448.4,0,3421.2,0
1.975,0,0,0,8447,0,3421,0
1.98,0,0,0,8445.6,0,3420.8,0
1.985,0,0,0,8444.2,0,3420.6,0
1.99,0,0,0,8442.8,0,3420.4,0
1.995,0,0,0,8441.4,0,3420.2,0
2,0,0,0,8440,0,3420,0
2.005,0,0,0,8438.6,0,3419.8,0
2.01,0,0,0,8437.2,0,3419.6,0
2.015,0,0,0,8435.8,0,3419.4,0
2.02,0,0,0,8434.4,0,3419.2,0
2.025,0,0,0,8433,0,3419,0
2.03,0,0,0,8431.6,0,3418.8,0
2.035,0,0,0,8430.2,0,3418.6,0
2.04,0,0,0,8428.8,0,3418.4,0
2.045,0,0,0,8427.4,0,3418.2,0
2.05,0,0,0,8426,0,3418,0
2.055,0,0,0,8424.6,0,3417.8,0
2.06,0,0,0,8423.2,0,3417.6,0
2.065,0,0,0,8421.8,0,3417.4,0
2.07,0,0,0,8420.4,0,3417.2,0
2.075,0,0,0,8419,0,3417,0
2.08,0,0,0,8417.6,0,3416.8,0
2.085,0,0,0,8416.2,0,3416.6,0
2.09,0,0,0,8414.8,0,3416.4,0
2.095,0,0,0,8413.4,0,3416.2,0
2.1,0,0,0,8412,0,3416,0
2.105,0,0,0,8410.6,0,3415.8,0
2.11,0,0,0,8409.2,0,3415.6,0
2.115,0,0,0,8407.8,0,3415.4,0
2.12,0,0,0,8406.4,0,3415.2,0
2.125,0,0,0,8405,0,3415,0
2.13,0,0,0,8403.6,0,3414.8,0
2.135,0,0,0,8402.2,0,3414.6,0
2.14,0,0,0,8400.8,0,3414.4,0
2.145,0,0,0,8399.4,0,3414.2,0
2.15,0,0,0,8398,0,3414,0
2.155,0,0,0,8396.6,0,3413.8,0
2.16,0,0,0,8395.2,0,3413.6,0
2.165,0,0,0,8393.8,0,3413.4,0
2.17,0,0,0,8392.4,0,3413.2,0
2.175,0,0,0,8391,0,3413,0
2.18,0,0,0,8389.6,0,3412.8,0
2.185,0,0,0,8388.2,0,3412.6,0
2.19,0,0,0,8386.8,0,3412.4,0
2.195,0,0,0,8385.4,0,3412.2,0
2.2,0,0,0,8384,0,3412,0
2.205,0,0,0,8382.6,0,3411.8,0
2.21,0,0,0,8381.2,0,3411.6,0
2.215,0,0,0,8379.8,0,3411.4,0
2.22,0,0,0,8378.4,0,3411.2,0
2.225,0,0,0,8377,0,3411,0
2.23,0,0,0,8375.6,0,3410.8,0
2.235,0,0,0,8374.2,0,3410.6,0
2.24,0,0,0,8372.8,0,3410.4,0
2.245,0,0,0,8371.4,0,3410.2,0
2.25,0,0,0,8370,0,3410,0
2.255,0,0,0,8368.6,0,3409.8,0
2.26,0,0,0,8367.2,0,3409.6,0
2.265,0,0,0,8365.8,0,3409.4,0
2.27,0,0,0,8364.4,0,3409.2,0
2.275,0,0,0,8363,0,3409,0
2.28,0,0,0,8361.6,0,3408.8,0
2.285,0,0,0,8360.2,0,3408.6,0
2.29,0,0,0,8358.8,0,3408.4,0
2.295,0,0,0,8357.4,0,3408.2,0
2.3,0,0,0,8356,0,3408,0
2.305,0,0,0,8354.6,0,3407.8,0
2.31,0,0,0,8353.2,0,3407.6,0
2.315,0,0,0,8351.8,0,3407.4,0
2.32,0,0,0,8350.4,0,3407.2,0
2.325,0,0,0,8349,0,3407,0
2.33,0,0,0,8347.6,0,3406.8,0
2.335,0,0,0,8346.2,0,3406.6,0
2.34,0,0,0,8344.8,0,3406.4,0
2.345,0,0,0,8343.4,0,3406.2,0
2.35,0,0,0,8342,0,3406,0
2.355,0,0,0,8340.6,0,3405.8,0
2.36,0,0,0,8339.2,0,3405.6,0
2.365,0,0,0,8337.8,0,3405.4,0
2.37,0,0,0,8336.4,0,3405.2,0
2.375,0,0,0,8335,0,3405,0
2.38,0,0,0,8333.6,0,3404.8,0
2.385,0,0,0,8332.2,0,3404.6,0
2.39,0,0,0,8330.8,0,3404.4,0
2.395,0,0,0,8329.4,0,3404.2,0
2.4,0,0,0,8328,0,3404,0
2.405,0,0,0,8326.6,0,3403.8,0
2.41,0,0,0,8325.2,0,3403.6,0
2.415,0,0,0,8323.8,0,3403.4,0
2.42,0,0,0,8322.4,0,3403.2,0
2.425,0,0,0,8321,0,3403,0
2.43,0,0,0,8319.6,0,3402.8,0
2.435,0,0,0,8318.2,0,3402.6,0
2.44,0,0,0,8316.8,0,3402.4,0
2.445,0,0,0,8315.4,0,3402.2,0
2.45,0,0,0,8314,0,3402,0
2.455,0,0,0,8312.6,0,3401.8,0
2.46,0,0,0,8311.2,0,3401.6,0
2.465,0,0,0,8309.8,0,3401.4,0
2.47,0,0,0,8308.4,0,3401.2,0
2.475,0,0,0,8307,0,3401,0
2.48,0,0,0,8305.6,0,3400.8,0
2.485,0,0,0,8304.2,0,3400.6,0
2.49,0,0,0,8302.8,0,3400.4,0
2.495,0,0,0,8301.4,0,3400.2,0
2.5,0,0,0,8300,0,3400,0
2.505,0,0,0,8298.6,0,3399.8,0
2.51,0,0,0,8297.2,0,3399.6,0
2.515,0,0,0,8295.8,0,3399.4,0
2.52,0,0,0,8294.4,0,3399.2,0
2.525,0,0,0,8293,0,3399,0
2.53,0,0,0,8291.6,0,3398.8,0
2.535,0,0,0,8290.2,0,3398.6,0
2.54,0,0,0,8288.8,0,3398.4,0
2.545,0,0,0,8287.4,0,3398.2,0
2.55,0,0,0,8286,0,3398,0
2.555,0,0,0,8284.6,0,3397.8,0
2.56,0,0,0,8283.2,0,3397.6,0
2.565,0,0,0,8281.8,0,3397.4,0
2.57,0,0,0,8280.4,0,3397.2,0
2.575,0,0,0,8279,0,3397,0
2.58,0,0,0,8277.6,0,3396.8,0
2.585,0,0,0,8276.2,0,3396.6,0
2.59,0,0,0,8274.8,0,3396.4,0
2.595,0,0,0,8273.4,0,3396.2,0
2.6,0,0,0,8272,0,3396,0
2.605,0,0,0,8270.6,0,3395.8,0
2.61,0,0,0,8269.2,0,3395.6,0
2.615,0,0,0,8267.8,0,3395.4,0
2.62,0,0,0,8266.4,0,3395.2,0
2.625,0,0,0,8265,0,3395,0
2.63,0,0,0,8263.6,0,3394.8,0
2.635,0,0,0,8262.2,0,3394.6,0
2.64,0,0,0,8260.8,0,3394.4,0
2.645,0,0,0,8259.4,0,3394.2,0
2.65,0,0,0,8258,0,3394,0
2.655,0,0,0,8256.6,0,3393.8,0
2.66,0,0,0,8255.2,0,3393.6,0
2.665,0,0,0,8253.8,0,3393.4,0
2.67,0,0,0,8252.4,0,3393.2,0
2.675,0,0,0,8251,0,3393,0
2.68,0,0,0,8249.6,0,3392.8,0
2.685,0,0,0,8248.2,0,3392.6,0
2.69,0,0,0,8246.8,0,3392.4,0
2.695,0,0,0,8245.4,0,3392.2,0
2.7,0,0,0,8244,0,3392,0
2.705,0,0,0,8242.6,0,3391.8,0
2.71,0,0,0,8241.2,0,3391.6,0
2.715,0,0,0,8239.8,0,3391.4,0
2.72,0,0,0,8238.4,0,3391.2,0
2.725,0,0,0,8237,0,3391,0
2.73,0,0,0,8235.6,0,3390.8,0
2.735,0,0,0,8234.2,0,3390.6,0
2.74,0,0,0,8232.8,0,3390.4,0
2.745,0,0,0,8231.4,0,3390.2,0
2.75,0,0,0,8230,0,3390,0
2.755,0,0,0,8228.6,0,3389.8,0
2.76,0,0,0,8227.2,0,3389.6,0
2.765,0,0,0,8225.8,0,3389.4,0
2.77,0,0,0,8224.4,0,3389.2,0
2.775,0,0,0,8223,0,3389,0
2.78,0,0,0,8221.6,0,3388.8,0
2.785,0,0,0,8220.2,0,3388.6,0
2.79,0,0,0,8218.8,0,3388.4,0
2.795,0,0,0,8217.4,0,3388.2,0
2.8,0,0,0,8216,0,3388,0
2.805,0,0,0,8214.6,0,3387.8,0
2.81,0,0,0,8213.2,0,3387.6,0
2.815,0,0,0,8211.8,0,3387.4,0
2.82,0,0,0,8210.4,0,3387.2,0
